OP,A1,A2,A3,A4,A5
+,1531,3588,207,3800,3198
+,1298,164,3877,2974,1779
+,948,1710,2830,2614,2149
+,3232,947,3923,2813,567
-,158,0,0,0,0
+,2131,2640,1680,4128,2016
+,3801,3872,4051,1525,3162
+,3548,2311,2171,2925,2073
+,4020,4578,4472,2076,2313
+,132,904,1908,3126,737
-,479,0,0,0,0
+,4781,1440,2077,718,4681
+,3808,772,2165,2691,3369
+,488,3717,1084,925,2404
+,3785,2752,4793,451,2230
+,569,1051,3344,126,1601
+,2536,1508,94,2874,635
-,989,0,0,0,0
+,4126,1911,2986,405,3665
+,435,4736,3041,320,425
+,1885,1560,2546,2111,666
+,4119,3737,3355,900,1615
+,1561,1480,4909,2375,2485
+,3110,3023,4314,1233,3602
+,463,4512,4412,1673,2558
+,1903,3410,4863,3416,4969
+,4470,3085,4700,2603,2753
+,671,1132,3686,3831,3496
+,2681,2177,3693,1010,3847
+,351,747,1025,1155,619
+,557,393,2591,1615,4229
-,221,0,0,0,0
-,87,0,0,0,0
+,901,4783,4053,1360,783
+,460,3802,1077,4360,1466
+,4326,3303,446,4216,4777
+,3277,4455,2951,2844,2535
+,1986,4944,3887,1397,176
+,4240,1336,1059,3289,3042
+,2673,4052,2923,219,1082
+,1605,2692,1420,3188,3730
-,884,0,0,0,0
+,4479,3730,3492,3506,1378
+,2781,4156,3096,3974,201
+,4297,1481,3023,278,3479
+,1012,1087,1132,514,1005
+,3670,241,957,235,189
+,3033,2506,4541,4687,974
+,3247,1535,2958,647,4671
+,3487,736,4825,3055,1931
+,4970,434,1074,4612,1084
+,2148,4695,3525,2357,2130
+,2231,1850,4599,600,3809
+,4014,1924,2326,4247,1236
+,361,4819,1676,2371,4619
+,2936,477,3743,2058,1920
+,4149,4312,2070,2758,4627
+,4250,3630,1038,1295,688
+,4216,3858,4919,897,2262
+,3581,3972,1127,2954,4537
+,3938,4203,671,1501,2023
+,1514,4100,1451,1946,3138
+,4946,2528,4593,3138,4494
-,231,0,0,0,0
-,106,0,0,0,0
+,3607,3976,692,1641,415
+,2494,4899,416,2735,28
-,730,0,0,0,0
+,2043,4439,811,3441,2402
+,331,3853,3078,480,2581
+,867,2126,4535,1587,1112
+,2272,4392,2560,3465,1670
+,11,4692,4276,762,1492
+,781,3182,3962,3500,1964
+,3068,2063,3749,614,1387
+,1686,4250,746,3718,1278
+,4321,2390,780,990,3269
-,704,0,0,0,0
+,2864,2374,4429,483,1691
+,621,2601,3023,2887,249
+,2390,1493,2328,2666,4009
+,19,2161,2186,2787,213
+,3833,945,2659,4176,4938
+,218,3380,3435,4973,4919
+,3948,3254,1531,75,1257
+,252,699,2885,575,2231
+,2817,2252,4747,2779,4215
+,1998,1656,297,494,4183
+,1653,1644,1226,3488,3841
+,198,1842,3186,1306,1075
+,4373,1455,2646,1653,3892
+,4516,280,1801,1775,2945
+,62,857,3126,700,1775
-,934,0,0,0,0
+,1202,1955,3413,4113,1819
+,3030,2522,1919,2111,3766
+,697,3866,3849,4288,1055
+,1141,843,2212,1465,4385
+,3338,4435,2458,1000,1514
+,1341,4894,1308,2240,1840
+,1556,4580,1304,4013,1601
+,3850,1341,561,3054,2450
-,244,0,0,0,0
+,3601,1987,4943,1561,1187
+,1891,3432,1978,493,4633
+,4497,1589,1193,509,3274
+,91,4630,4158,2538,233
+,4075,2022,3056,4354,3023
+,94,1834,2823,4037,3974
+,4077,2,483,4668,3242
-,142,0,0,0,0
+,1489,1923,482,1982,926
+,736,1103,2707,313,2886
+,123,3313,4422,3312,3713
-,218,0,0,0,0
+,3932,2657,3684,274,1622
+,1699,2395,640,2803,1210
+,4945,2026,2534,173,4601
+,1170,2754,2764,2469,637
-,920,0,0,0,0
+,3391,3177,3274,4431,2734
+,3,4133,3293,1214,2549
+,4079,358,2371,1089,3896
-,567,0,0,0,0
+,517,4679,2732,1063,1438
+,4949,623,2882,2686,4835
+,2963,1654,220,2995,1859
+,642,4339,406,4011,870
+,1576,1838,924,2918,4098
+,4168,3105,4674,1057,816
+,4280,4729,1397,4463,352
+,4154,2473,2175,2349,2354
+,4991,722,1985,2619,1756
+,382,2506,1849,4569,3224
+,4293,469,297,4476,928
+,3897,2388,3437,4724,540
+,1790,736,4160,2332,2757
+,3644,2984,2297,3556,2853
+,4932,3149,894,3733,1568
+,2176,2711,3774,1498,1608
+,346,882,3293,4203,1414
+,230,1281,2015,4001,1606
+,4839,3270,2569,2581,3210
+,3787,1663,4838,2469,1084
+,3811,1890,4680,4376,4370
+,4962,1318,652,1800,2414
-,338,0,0,0,0
+,645,3166,1763,3709,4805
+,567,2336,2912,963,3039
+,4003,195,4728,3193,2613
+,491,3428,3918,2242,1349
+,3559,3644,3801,4848,3783
+,3438,641,1684,3638,2518
+,2375,4189,3858,3348,1758
+,3884,895,4524,1397,2696
+,4732,4116,4531,4197,1299
+,4794,838,4780,3397,1812
-,707,0,0,0,0
+,3527,3161,1005,2750,823
+,2774,4461,3441,1226,4205
+,1239,4428,4545,2047,3471
+,2408,140,1033,4944,4250
+,4051,1539,123,4487,1048
+,732,1867,2751,746,1940
+,1641,1262,2216,1606,1174
+,2018,4318,4912,485,4507
-,591,0,0,0,0
+,3430,633,2514,2940,2550
-,705,0,0,0,0
-,112,0,0,0,0
+,3383,2693,2687,2297,3673
+,53,4030,447,4617,3789
-,583,0,0,0,0
+,3485,4539,2219,2650,169
+,3210,4622,597,223,597
+,3920,2219,1451,4930,4081
-,735,0,0,0,0
+,2273,604,3860,1084,4135
+,2497,293,432,3332,4490
+,1751,2577,0,4004,1897
+,3572,3765,4445,3976,1716
+,3491,3962,3063,1261,2291
+,4096,696,772,713,4767
+,4242,3571,2148,4143,2914
+,1318,3666,4915,4394,347
+,3280,387,1771,669,4875
-,158,0,0,0,0
-,614,0,0,0,0
+,2202,4620,3538,2031,2741
+,37,2027,2011,2819,3675
+,4437,3757,1919,2049,3038
+,2974,3950,3975,2046,2134
+,4127,380,2992,1581,1878
+,119,2342,4539,3910,3347
-,271,0,0,0,0
+,4805,3931,2017,3353,3822
+,3824,4176,1745,2599,3888
+,4687,1857,4051,1424,4842
+,737,2299,3706,407,1372
+,2807,1436,565,4355,1712
+,1140,893,4502,3034,687
-,999,0,0,0,0
+,4122,3136,2561,907,3065
+,1083,1074,2608,1363,86
+,3855,2736,4911,4996,3142
+,2675,2910,4512,3556,3784
+,367,4796,4037,206,1845
+,2007,4214,3964,558,238
+,2118,1125,1232,3001,2656
+,3339,118,2730,4475,885
+,937,2348,3777,3934,2197
-,662,0,0,0,0
+,3964,2818,3343,4079,1655
-,999,0,0,0,0
-,2,0,0,0,0
+,2132,3732,1600,1672,2793
-,668,0,0,0,0
+,4022,4732,4227,4230,288
+,1143,4309,3236,4918,616
+,3265,2508,2681,1697,1469
+,1861,3605,2971,4621,2320
+,1856,3817,1264,436,2199
+,650,4228,3719,3634,3474
+,4171,2544,4863,2164,129
-,331,0,0,0,0
+,2283,2123,359,4390,232
+,4939,4256,4272,323,4842
+,4419,4689,1865,4580,616
+,2173,4117,3722,4700,3718
+,1480,3534,93,3518,916
+,3081,183,4505,837,4090
+,775,2237,644,4233,832
-,532,0,0,0,0
+,4538,2456,3838,4741,2266
-,702,0,0,0,0
+,4156,2191,380,2990,1121
+,4496,510,4774,594,3383
+,1694,2728,1957,2184,2276
+,1057,4249,1041,2233,3180
+,1959,3635,1737,3442,3140
+,845,2497,485,2397,3773
+,3872,2432,1520,49,2070
+,3818,2188,1587,4728,4296
+,2584,3984,3901,3617,236
+,1187,4083,493,2609,1441
+,1457,775,2839,452,1621
+,3757,4422,521,2640,1619
+,3803,2750,3381,2195,3506
-,166,0,0,0,0
+,1386,2890,3819,161,394
+,4770,4548,1159,4175,2022
-,856,0,0,0,0
+,3694,2160,190,3763,3497
+,4607,1393,2332,944,4971
+,4503,4661,754,1486,3181
-,241,0,0,0,0
+,1838,206,1021,4752,447
+,3061,2004,1238,2847,1164
+,1171,1280,4773,2258,4499
-,467,0,0,0,0
+,3869,2491,4051,4122,1739
-,804,0,0,0,0
+,1425,359,1660,3346,3473
+,1648,2887,2855,2691,4896
+,2114,1069,438,3615,2222
