OP,A1,A2,A3,A4,A5
+,9126,8815,2712,9896,4209
-,325,0,0,0,0
+,3885,6713,3753,5677,2653
-,2813,0,0,0,0
-,4591,0,0,0,0
+,4831,9187,1172,4105,8203
+,8205,0,2783,9702,9423
-,4777,0,0,0,0
+,1024,1156,8713,4741,3779
+,295,2662,8946,4835,8027
-,3079,0,0,0,0
-,7451,0,0,0,0
+,5365,7363,1366,988,7043
-,3768,0,0,0,0
+,7409,6849,3980,8085,4289
+,9337,9937,9610,3970,1275
-,5803,0,0,0,0
-,7776,0,0,0,0
-,5877,0,0,0,0
+,5907,1636,603,9860,7741
+,1231,4790,8720,2842,4121
+,6751,8135,3275,2773,4849
+,8157,6444,910,3960,7062
+,9254,376,1925,3301,384
-,5012,0,0,0,0
+,1747,9156,497,1329,604
-,4202,0,0,0,0
+,8629,8660,2603,6760,6605
+,9115,9518,2339,1119,1316
-,2215,0,0,0,0
-,1175,0,0,0,0
+,6727,9540,3450,6182,6342
+,4861,1649,8467,5222,4733
+,4759,7314,1810,2275,2507
-,4192,0,0,0,0
-,4700,0,0,0,0
-,1472,0,0,0,0
-,1522,0,0,0,0
+,9482,8397,4113,9365,1308
+,2023,3509,5404,1414,2518
+,6598,8908,7506,3504,9721
-,2719,0,0,0,0
+,6672,7593,3464,4683,5508
+,886,2430,3386,4109,47
+,8853,318,7920,6488,9642
+,8672,705,9021,2770,2528
+,5934,253,9061,3432,1488
+,3544,4152,4160,1843,7476
-,6847,0,0,0,0
-,5088,0,0,0,0
-,3176,0,0,0,0
-,6769,0,0,0,0
+,6124,6673,6009,6891,4723
-,7359,0,0,0,0
-,2059,0,0,0,0
+,4539,3735,8698,1868,2199
+,7457,2892,3839,5692,112
+,3045,6816,5276,6354,66
+,5189,7884,8248,440,321
+,5144,8224,9892,1886,1203
+,2186,4704,4042,4871,7463
-,6240,0,0,0,0
-,5984,0,0,0,0
-,5725,0,0,0,0
-,5868,0,0,0,0
+,1214,4581,990,1296,2995
-,4235,0,0,0,0
+,8432,2967,1552,7514,1554
+,3400,2331,5654,9679,5522
-,4420,0,0,0,0
-,7518,0,0,0,0
+,4852,5885,8695,7638,1904
-,5458,0,0,0,0
-,6742,0,0,0,0
+,1003,4410,8131,2264,7879
-,6616,0,0,0,0
-,6262,0,0,0,0
-,7181,0,0,0,0
+,4996,5701,2585,1796,8727
+,6467,8188,1241,3291,4240
+,1472,7501,1284,2989,5333
-,724,0,0,0,0
-,4687,0,0,0,0
+,2677,6391,498,417,4529
-,7819,0,0,0,0
+,6357,9993,3613,3984,7124
+,20,1693,4973,7834,2115
-,2315,0,0,0,0
-,3940,0,0,0,0
+,5985,703,7522,601,4520
+,385,4001,466,1528,7522
-,749,0,0,0,0
+,9661,4074,9731,3851,6907
-,809,0,0,0,0
+,3650,8183,9426,7853,9336
-,4870,0,0,0,0
+,9044,9229,3330,5934,1699
-,2795,0,0,0,0
+,3606,5354,3896,6511,144
+,1848,4725,6640,6415,5619
-,727,0,0,0,0
-,2995,0,0,0,0
+,844,8705,2822,2169,556
+,2340,4174,7841,8154,202
-,5368,0,0,0,0
-,2672,0,0,0,0
+,9375,9943,9798,8834,204
+,346,7384,4055,7838,3587
-,122,0,0,0,0
+,570,3362,6770,1957,4655
+,9534,8049,4221,9560,5188
+,6705,9641,3114,7091,4483
-,971,0,0,0,0
-,1344,0,0,0,0
+,3845,2192,8210,8252,8197
+,2308,3340,5831,4426,9092
-,2839,0,0,0,0
+,9010,2985,1920,2689,8745
+,6769,5567,4276,7040,9906
-,6532,0,0,0,0
-,2601,0,0,0,0
-,506,0,0,0,0
+,3664,6965,4218,8059,705
-,179,0,0,0,0
-,1199,0,0,0,0
+,5177,8394,9780,4847,9195
+,2287,6388,121,2918,6479
-,6944,0,0,0,0
-,1529,0,0,0,0
+,6406,7206,9011,2687,792
+,60,5148,8397,1265,189
-,2519,0,0,0,0
+,9011,9468,6621,1437,4020
+,6212,3787,9590,436,4163
+,1133,3854,1213,3498,6944
-,1842,0,0,0,0
+,6575,1982,5496,2003,5995
+,3825,303,9464,6124,4361
+,4228,1808,4669,2644,7239
-,795,0,0,0,0
-,4834,0,0,0,0
-,3996,0,0,0,0
+,2587,9392,2084,4069,3910
-,2990,0,0,0,0
+,7148,579,1353,7458,7038
-,1968,0,0,0,0
+,9769,8222,1574,1166,3527
+,5859,5080,5477,1238,6077
+,7207,697,9787,1738,4643
-,1397,0,0,0,0
+,9881,4565,5131,5197,4910
+,3285,8753,8415,5973,8432
+,8798,4576,4515,3243,4350
+,2299,8195,3738,3793,6718
+,7999,2661,5732,2562,1254
+,226,4976,3043,8836,7154
+,6084,8720,9501,5296,4517
+,6,1748,1520,2852,2997
-,3919,0,0,0,0
+,3223,7602,7862,6147,2160
-,714,0,0,0,0
+,8394,1775,1000,8671,8363
+,5578,5022,199,3640,9132
+,3850,4605,8089,6426,3395
-,1880,0,0,0,0
-,3534,0,0,0,0
-,3301,0,0,0,0
-,1978,0,0,0,0
-,653,0,0,0,0
-,3863,0,0,0,0
-,4621,0,0,0,0
-,1018,0,0,0,0
+,9809,7363,7094,1797,8072
+,6338,1466,6432,1931,6846
+,4293,2873,6287,4450,8170
+,6602,7055,9938,6858,3645
-,1062,0,0,0,0
-,5836,0,0,0,0
-,7346,0,0,0,0
-,3467,0,0,0,0
