OP,A1,A2,A3,A4,A5
+,9084,7342,617,2133,9286
+,5879,9390,7237,2797,2178
+,6450,6457,9308,9332,6600
+,3511,4290,4441,6885,3703
+,8813,6041,808,3463,3565
+,2396,7114,7915,1993,7030
+,5632,4865,8812,7304,6299
+,5059,3257,6272,1279,7148
+,4438,6463,2659,8387,8273
+,9471,1054,7473,4846,4466
+,2968,7607,8880,1259,8793
+,1900,3724,5601,8798,5622
+,6879,3242,9300,9465,9011
+,3886,2692,1642,4333,1542
+,3189,7003,6619,5288,3171
+,8530,3257,957,1586,1047
-,867,0,0,0,0
+,4632,8503,8292,36,609
+,5464,4246,8850,7437,3255
+,1917,1608,3757,9161,3590
+,5273,5202,584,91,2845
+,1307,3411,3559,4844,1887
+,7784,9823,6806,1490,3983
+,5719,7163,8640,9695,7560
+,457,10,487,2370,7985
+,1712,4618,3441,7475,2176
+,6873,3003,8059,1601,3458
-,54,0,0,0,0
+,5692,3952,765,3998,6977
-,245,0,0,0,0
+,6113,621,1953,8298,3241
+,6920,2920,2255,94,249
-,994,0,0,0,0
-,194,0,0,0,0
+,2530,657,4847,7393,5554
+,1191,8745,5260,1336,3627
-,973,0,0,0,0
+,2369,2834,1865,715,2832
-,336,0,0,0,0
+,5188,4565,2757,1631,7656
+,4192,5219,4862,1643,431
+,9937,9384,6071,9478,5292
+,329,238,2139,6228,7323
+,4177,9286,2869,2218,4881
+,3696,370,4985,4277,501
+,9571,9596,3502,4162,9529
+,9992,9774,6175,663,9165
+,7184,849,4137,2543,6180
+,5859,4284,6005,7877,8890
+,948,1333,3562,6292,839
+,6647,9705,6326,8934,3141
+,4615,7500,3958,878,5495
+,6476,5768,1876,3528,3772
+,9180,8410,6494,5014,3394
-,986,0,0,0,0
+,3806,6505,2028,5294,2251
+,8251,6934,8292,2527,6553
+,1993,9760,5010,3052,7892
+,2089,7752,534,3110,4291
+,1498,4321,8327,7519,7752
+,3801,5189,1829,9825,1472
+,4539,7424,9101,1403,5735
+,1409,5402,2628,8248,2513
+,1927,971,9336,5909,8975
+,8396,8784,7172,4998,4972
+,6933,7985,6302,4962,8644
+,8292,367,3264,6433,2738
+,5398,7583,9416,849,7050
+,3808,4482,4960,2266,7656
+,1419,1598,3412,6070,7815
+,4818,6747,679,7243,4318
-,70,0,0,0,0
+,3873,3254,4787,2355,8003
+,859,5671,8295,1828,6646
+,108,1398,5259,6284,7974
-,200,0,0,0,0
+,9480,2796,8604,6179,1973
+,6052,5927,8603,2764,5676
+,9664,4916,6385,7348,4539
+,5028,4411,6645,7546,418
+,7958,7790,7071,2132,9495
+,3944,1633,3633,5471,6712
+,8495,2117,963,7244,3119
+,7971,2834,4848,516,8490
+,4157,7797,328,4014,1946
+,4293,720,8426,6514,3123
+,9345,5486,3857,7442,9705
+,3945,8218,1939,3819,7708
+,303,1498,6685,3164,1363
-,898,0,0,0,0
+,1766,2931,1443,1419,7981
+,5485,9309,2785,5381,130
+,6178,7931,608,3547,1791
