OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,2410,1908,4092,1660,3748,6865,13,9085,3652,9527,2004,4163,491,1572,81,3529,7494,6805,9372,9699
+,5764,9239,6591,2339,3658,1683,9243,542,1943,879,8696,3453,3359,2344,4617,1906,7822,1473,5302,5727
+,1236,2433,3799,5383,5689,5366,4830,4481,9274,9570,7095,693,3350,2064,2309,7329,3504,7644,5136,2708
-,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9413,1808,3146,4315,9579,2644,4310,8864,6565,3890,1409,4102,1876,6374,433,1765,9848,7607,3071,3670
+,5783,9952,524,4136,2546,3531,9476,6640,9958,9122,4053,9483,8439,8408,9802,4143,3793,549,9625,5496
+,9993,406,7986,3769,3363,2330,8348,3740,6528,6875,4915,1958,9890,8787,1015,7503,4911,2968,978,6987
+,9932,381,1294,9406,6794,5524,828,3863,2973,4792,95,5022,2412,4721,3551,5800,5929,1005,6858,20
+,3292,7666,8836,8398,1374,8101,2607,5403,601,3430,8361,5416,4820,2199,2500,5908,1673,1031,8122,3494
-,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2107,4142,4380,6931,7786,3926,895,6041,8530,2728,109,5852,6740,5550,6660,1457,8208,9283,7059,8554
+,7259,9890,8762,6116,8325,3762,875,7311,8456,3510,3393,6864,4982,9370,8181,8310,6702,6424,5340,3330
+,1046,7098,1570,7362,2011,5337,7955,8813,5785,5061,9317,6335,7237,4498,7567,8418,8814,6082,7297,3580
+,507,3768,1665,5290,4413,3799,1769,9307,7217,5363,7363,5369,5094,687,3737,3445,630,2060,5629,8259
+,3257,6615,4295,1380,8996,446,9989,2253,5285,9631,476,1699,4198,8108,2133,5561,5446,9497,2937,2296
+,8505,9849,6784,8475,5722,2995,5299,9655,2582,6916,7792,7744,8402,9032,1083,7532,6936,2124,2539,3771
+,8331,8276,1728,8564,267,8743,1213,4092,2781,2952,95,3046,7403,244,5503,9732,7993,3550,2454,7317
+,651,7733,2279,5404,2004,1024,5319,2050,4554,7476,117,6290,9520,6798,2735,2675,1874,6599,7259,186
+,4896,1093,9569,2555,3164,6480,5790,6154,4354,565,7479,3755,8712,1531,7003,7052,2893,4104,9813,4706
+,9877,5678,1635,8378,965,9945,3091,1249,7057,5785,7896,4302,6721,858,6819,6746,9554,5351,88,7851
-,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4346,8071,7632,2655,7936,2765,5951,9225,3286,1067,3749,9641,1180,6214,6856,7751,2417,4229,2563,1693
+,4213,1175,6826,7185,5800,1783,1613,1388,3951,3265,6151,8434,9664,292,4127,720,8212,1919,1068,9686
+,1959,3315,1118,9308,2757,7569,7088,1293,9109,3877,767,749,1762,3449,2369,6692,3475,9947,8943,9047
+,2631,9653,77,4677,1210,7781,2198,7105,9238,9542,7524,2227,1206,9014,6364,8213,8973,2487,1168,7859
+,969,7429,490,4976,4058,3702,9076,302,668,9184,9434,8333,4302,4069,226,3048,113,600,4179,8631
+,7040,2130,1981,1157,9090,5812,7857,3659,5693,5730,5522,4343,6960,7574,9105,423,4698,1028,579,932
+,4286,1758,9355,8809,2577,9921,1186,3170,9131,3166,811,4018,4496,4308,9907,5779,7918,9019,8748,8037
+,6603,749,927,6,3670,9320,1926,7849,2113,3560,6922,6800,8687,4713,3649,8368,5028,8684,9775,7338
+,9966,728,4555,6343,2165,7016,6269,8182,9907,6763,3046,5168,3304,713,9445,1625,4307,3041,882,3746
+,3777,4969,779,7757,3135,9269,9621,8539,4665,5996,220,7027,9501,4150,5427,1930,3652,1,8896,3265
+,7676,2081,425,6817,9372,3336,1099,5452,843,4247,4926,9895,2123,5617,4314,1559,8415,3018,6286,2994
+,8862,5713,8635,759,4207,5027,6588,9126,7771,3574,7805,5726,9169,2673,7259,9031,7749,2237,4576,4418
+,5284,2673,1927,5679,4655,8234,1701,7528,2283,439,4286,8857,7209,1880,7811,736,5565,7661,1288,289
+,6392,2527,9080,1076,6413,9117,6912,3885,1100,8511,6014,8120,2901,357,1251,7429,7245,7748,6622,3546
